"filename", "language", "Properties", "Python", "Shell Script", "Rust", "JavaScript", "JSON", "Makefile", "pip requirements", "Markdown", "HTML", "XML", "CSS", "vue", "YAML", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\public\assets\javascript.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\public\assets\python.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\public\assets\rust.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 3, 23
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 13, 169
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\assets\js_usage.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 35
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\assets\python_usage.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 9, 31
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\assets\rust_usage.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\components\Benchmark.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 8, 137
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\components\BenchmarkChart.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\components\Metrics.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 2, 288
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\components\Splitter.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 329, 0, 0, 56, 385
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\components\Usage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 5, 62
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\main.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\plugins\vuetify.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\src\style\quill.snow.reduced.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 2, 70
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\vue.config.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"Total", "-", 6, 845, 35, 789, 123, 24485, 10, 115, 103, 31, 3, 68, 967, 190, 93, 680, 28543
