"filename", "language", "Batch", "Markdown", "Dart", "JavaScript", "YAML", "Shell Script", "Rust", "JSON", "vue", "HTML", "CSS", "XML", "pip requirements", "Python", "Properties", "Makefile", "C", "Ruby", "C++", "Swift", "Gradle", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\readability\ffigen.yaml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\acer\workspace1\langtube\packages\readability\flutter_rust_bridge.yaml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\acer\workspace1\langtube\packages\readability\ios\Classes\readability.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 4
"c:\Users\acer\workspace1\langtube\packages\readability\ios\readability.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 9, 3, 29
"c:\Users\acer\workspace1\langtube\packages\readability\lib\readability.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\acer\workspace1\langtube\packages\readability\lib\src\models\readability_score.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 98
"c:\Users\acer\workspace1\langtube\packages\readability\lib\src\models\text_metrics.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 107
"c:\Users\acer\workspace1\langtube\packages\readability\lib\src\readability.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 36
"c:\Users\acer\workspace1\langtube\packages\readability\lib\src\readability_impl.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\acer\workspace1\langtube\packages\readability\lib\src\rust_bridge\api.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 29
"c:\Users\acer\workspace1\langtube\packages\readability\lib\src\rust_bridge\bridge.dart", "Dart", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 54, 319
"c:\Users\acer\workspace1\langtube\packages\readability\libgen.bat", "Batch", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\acer\workspace1\langtube\packages\readability\macos\Classes\readability.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 4
"c:\Users\acer\workspace1\langtube\packages\readability\macos\readability.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 8, 3, 28
"c:\Users\acer\workspace1\langtube\packages\readability\pubspec.yaml", "YAML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 8, 87
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\readability_implementation\example\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\readability_implementation\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 157
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\readability_implementation\src\sentence_tokenizer.rs", "Rust", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\readability_implementation\src\syllable_counter.rs", "Rust", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\readability_implementation\src\text_metrics.rs", "Rust", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 149
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 164
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
